url,label
https://offer905964.org,spam
https://info167463.online,normal
https://update13363.in,spam
https://example106535.com,normal
https://secure678300.online,spam
https://win524648.in,spam
https://update256305.info,spam
https://service32954.online,normal
https://service132555.org,normal
https://gift679061.com,spam
https://update935921.com,spam
https://support125716.info,normal
https://example525666.net,normal
https://deal390691.online,spam
https://secure188313.org,spam
https://update699679.org,spam
https://news987468.online,normal
https://gift403321.info,spam
https://verify240207.online,spam
https://deal881620.info,spam
https://myapp553958.info,normal
https://secure19297.online,spam
https://news93162.online,normal
https://secure24488.online,spam
https://info974344.in,normal
https://shopnow498928.info,normal
https://myapp300641.net,normal
https://support16495.online,normal
https://click707176.com,spam
https://info265734.org,normal
https://free616976.in,spam
https://click138210.net,spam
https://secure447569.net,spam
https://service923114.org,normal
https://win93761.com,spam
https://myapp833277.net,normal
https://update874977.in,spam
https://myapp594639.info,normal
https://gift487889.net,spam
https://shopnow225793.net,normal
https://offer512317.info,spam
https://myapp323094.info,normal
https://support103997.online,normal
https://example665626.org,normal
https://official203511.org,normal
https://shopnow699133.com,normal
https://offer167245.online,spam
https://gift952294.in,spam
https://trusted353752.in,normal
https://secure828368.info,spam
https://info42509.online,normal
https://deal411068.online,spam
https://myapp649448.in,normal
https://info93152.online,normal
https://info949502.net,normal
https://trusted621005.online,normal
https://offer229402.net,spam
https://example203789.net,normal
https://service639793.in,normal
https://shopnow206483.info,normal
https://secure210404.org,spam
https://deal160463.online,spam
https://official811936.com,normal
https://portal640678.info,normal
https://bonus507728.in,spam
https://offer244737.net,spam
https://official603283.online,normal
https://official638231.com,normal
https://service585380.net,normal
https://service779883.org,normal
https://service400123.info,normal
https://gift133749.com,spam
https://win188742.info,spam
https://myapp509584.in,normal
https://verify607336.in,spam
https://portal358294.net,normal
https://bonus15246.info,spam
https://example627033.online,normal
https://update3727.net,spam
https://free215655.org,spam
https://official158386.com,normal
https://update320171.info,spam
https://trusted605030.in,normal
https://service383349.com,normal
https://gift32996.net,spam
https://secure920007.online,spam
https://click656253.org,spam
https://support475619.org,normal
https://shopnow855710.online,normal
https://secure996567.net,spam
https://verify372469.online,spam
https://verify897730.com,spam
https://deal476946.com,spam
https://bonus281507.in,spam
https://free156529.in,spam
https://info536131.net,normal
https://verify240603.online,spam
https://service464160.com,normal
https://offer358294.net,spam
https://support357491.net,normal
https://verify659078.online,spam
https://update808816.in,spam
https://offer943013.net,spam
https://win731802.online,spam
https://trusted663503.org,normal
https://win914749.online,spam
https://verify680396.com,spam
https://win3322.com,spam
https://portal24307.in,normal
https://trusted338503.org,normal
https://news284431.org,normal
https://secure851875.net,spam
https://update547942.net,spam
https://click599344.info,spam
https://click552396.net,spam
https://service256729.info,normal
https://portal499524.net,normal
https://bonus622966.net,spam
https://shopnow303191.net,normal
https://portal447442.online,normal
https://trusted860338.org,normal
https://click507561.online,spam
https://free545247.in,spam
https://bonus223191.in,spam
https://secure432235.info,spam
https://gift72645.org,spam
https://update166613.org,spam
https://deal421024.in,spam
https://click321439.info,spam
https://official894355.net,normal
https://gift674990.in,spam
https://deal898638.com,spam
https://offer163206.in,spam
https://shopnow763166.com,normal
https://update501094.in,spam
https://info954033.com,normal
https://portal329517.in,normal
https://info908142.in,normal
https://trusted504408.com,normal
https://trusted72549.com,normal
https://bonus344297.com,spam
https://win222546.org,spam
https://verify386023.in,spam
https://news276072.in,normal
https://offer306367.in,spam
https://update366942.online,spam
https://gift677942.org,spam
https://verify254976.net,spam
https://secure952574.online,spam
https://bonus853357.info,spam
https://bonus53910.in,spam
https://bonus894198.online,spam
https://click598506.org,spam
https://update516709.com,spam
https://myapp952930.com,normal
https://offer21119.in,spam
https://verify971589.online,spam
https://example282854.org,normal
https://win56734.com,spam
https://service672634.net,normal
https://offer159573.info,spam
https://service909353.net,normal
https://offer567664.in,spam
https://bonus83422.org,spam
https://news68273.in,normal
https://gift132719.net,spam
https://gift894308.com,spam
https://click848043.net,spam
https://example13036.org,normal
https://service332143.online,normal
https://official344151.net,normal
https://service176605.org,normal
https://win796671.org,spam
https://official321152.net,normal
https://offer442803.com,spam
https://secure228375.online,spam
https://portal287875.org,normal
https://click585327.in,spam
https://deal248351.info,spam
https://secure805761.net,spam
https://info8949.org,normal
https://secure803972.org,spam
https://info162520.org,normal
https://free899224.online,spam
https://official690067.org,normal
https://secure242926.net,spam
https://bonus433142.in,spam
https://example839778.info,normal
https://shopnow787913.net,normal
https://news279762.in,normal
https://shopnow246718.com,normal
https://deal802240.org,spam
